,definition,downvotes,mnemonics,upvotes,word
0,['(verb) cause to feel shame; hurt the pride of'],"['51', '9', '5', '28', '4', '3', '0', '1', '4', '1', '3', '2', '6', '2', '1', '0', '1', '0', '2', '2', '3', '0', '0']","[""abase-abe(a slang used to degrade acvv person)+shhh(se)usually an attempt to degrade a person's opinion..ovral goes to humiliate a person...."", 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Abase > to bring someone down back to A BASE level.', 'a= no, negative, less & base = base, position, grade.. combinedly lessen the position/grade', 'A baseball player tripped over A BASE marker thus humiliating himself.', 'abase = a + base; without a base; Imagine you shifted to a new house whose base is not very strong (without base) and hence it may fall down anytime  and can abase you in front of your neighbours.', 'abase=BASEti karna(beizzzati)', 'abase.....means without base n one will b fall down without base nd become lower hence lower in rank', 'bring to the base the lowest level', 'Abash- bash can be drub, which is humiliating', ""one addressing u as 'abe' 'sale' in vidharbha......which means he is degrading u....."", 'Abase Abash Same Stash of Embarrassing (or Humiliating) Trash', 'A BASEment is always in the LOWer part of the house.', 'abash is ab bas matlab  dimaag kharab ho gaya feeling embarrased', 'Nubile:adj.marriageble\r\n\r\nNewly(recently)able to be married.', 'abode, b and d are symmetric, so abode = home and adobe = my company where I work.', 'Teachers,sometimes ask their student to sit at base(degrade them) when they have not complete their homework.', 'Abasing someone in front of others is not a good practice.', 'a+bide, bide sounds like bind, a thing that makes you to bind yourself', 'lower yourself to the base.', 'No offense....\r\nSAy someone who is very fat as a big TIRE(tyre)---- ridicule', 'ABASE can be termed as (ABE-YASH)suppose that in reality show gobinda called YASHRAJ ABE YASH means he abases him.', 'Juniors are often abased by their seniors.', 'abash']","['350', '202', '39', '33', '32', '20', '6', '5', '3', '3', '2', '2', '1', '1', '1', '1', '1', '0', '0', '0', '0', '0', '0']",abase
1,['(verb) cause to be embarrassed; cause to feel self-conscious'],"['20', '16', '4', '30', '29', '5', '2', '5', '20', '2', '4', '2', '2', '3', '3', '4', '2', '1', '0']","['A=ALWAYS\r\nB=BRINGS\r\na \r\nS=SHAME', 'Ab for abraham (john abraham)and ash for aishwarya roy .when they come close,abhishek get abashed', 'What happens when u get a bash? (bashing)....u get embarrassed.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    link it to bashful.', 'if we tell a lady...u r A-BHAINS(buffalo IN HINDI) INFRONT OF EVERYONE,SHE WILL B EMBARASSED.', 'sounds like ab-ash (Abhishek-Aishwarya, Bollywood Actor-Actress) married and abashed Salman(Bollywood Actor)', 'AB+ASH....AB=now(in hindi)ASH=short form of ASHAMED...now combine these two we get the meaning i.e,feeling ashamed at that time or situation', 'When the group was making fun of Amy, she ABASHed by covering her face with her hands and hiding herself behind A BUSH in Busch Gardens in Virginia.', 'I gave badshah -  A Bash in public, thus humiliating him...', 'abash : a boss who always embarasses u or u are emabarresed b4 boss', 'abase: A bhais{base} which means buffalo and it implies humiliation', ""Abash='A'+ basha.Basha means language.so when people scold u using A language u feel embarrassed."", ""abash =ab + ash = abishek+aishwarya rai.. abishek bachan is always embarrassed becos of aish rai's beauty"", 'ab stands for Abhishek + ash stands for Aishwarya\r\nwhen Abhishek married to Aish Salman gets embarrased', 'Bash stuns enemy in games. A BASH makes them uncomfortable.', 'Aba=Elder person, Abha\r\nSh= Shame\r\nAbha felt shameful', 'Abase Abash Same Stash of Humiliating or Embarrassing Trash', 'When you are abash, it makes you dash\r\n(because you are embarrassed)', 'Bash is Bamboo in Bangla. A Bash ie A bamboo makes him abashed']","['121', '35', '22', '22', '17', '15', '9', '6', '3', '3', '3', '3', '2', '2', '1', '1', '0', '0', '0']",abash
2,"['(verb) make less active or intense', '(verb) become less in amount or intensity']","['11', '35', '13', '11', '18', '2', '1', '4', '16', '1', '2', '6', '1', '4', '1', '2', '0', '2', '0', '0']","['rebate means discount... i.e reducing the price..\r\nabate and rebate are rhyming words', '(Tag : ) abate which is rhyming with debate.Debate means raising(actually in discussion imagine that in every thing) just opposite to debate consider abate that is reduction in nature', 'ab ate mat karo abate your weight', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    A BAIT is given to rats at home finally rats get reduced. So u can directly give ABATE to rat to reduce its population i.e; ABATE is reducing', '\'abate\' sounds like the hindi bait"" means ""come sit"". Imagine a tired old man visiting you and you offer a chair and say \'aa bait\' it will lessen relieve your tiredness.', 'ABATE=AB+ATE... here ""ATE"" is the past tense of ""eat"". So when we eat, the quantity tends to reduce or lessen... the same applies here..', ""Focus on ‘ate’ part of abate. (eat, ate, eaten). When you eat anything, you reduce it's quantity."", 'abate= a + bate which almost sounds aa bete in hindi, imagine father sayings his son come(aa) son(bete),come join my business to subside me and reduce my load.', 'bate(if some body beats u,ur self respect for him gets diminished)...hence abate counts for getng diminishd by sum means...', 'a+baith: aa baith yani aaja baith ja matlab down ho ja ya reduce ho ja', 'ABATE RHYMES WITH ""WAIT"". means waiting to get sumthng subsided', 'A =always ;BATE = masturbate ;so when you always masturbate ,energy and sperm will be less in amount,degree or intensity', 'ABATE=AB+ATE.. ""ATE"" is the past tense of ""EAT"".. so When we eat, the quantity tends to reduce or lessen.. SO ABATE stands for lessen or reduce or diminsh or slacken', ""Sachin's  BAT has no intention of aBATing the agony of his opponent bowlers."", 'In Hindi sit down means (baith) + ab = ab baith i.e. abate', 'ab+ate— ab( away) from ate, if you will be AWAY from ATE(food) you will REDUCE', 'In an ABATTOIR, butchers ABATE or end the lives of animals.', 'ABATE= AB + ATE. You got your current six-packs ABdomen because you ATE so little and reduce your fat-intake.', 'abATE is the opposite of escalATE', 'AB+ ATE = abishek ate Aishariya lessen her beauty.']","['137', '97', '28', '22', '14', '13', '9', '6', '5', '4', '3', '3', '2', '2', '1', '1', '1', '0', '0', '0']",abate
3,"['(verb) reduce in scope while retaining essential elements', '(verb) shorten']","['8', '3', '0', '0']","[""abbreviate consists of brevity(means brief)..so the meaning would be 'to make brief'"", 'Abbreviate & Elaborate are pronounced similarly but meant inversely... Understood?', 'Abbreviation = short form of anything so abbreviate means to shorten', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    abbreviate has root brev (brief) in it; brev (brief) means in short. hence meaning of  abbreviate is to shorten something']","['38', '14', '3', '0']",abbreviate
4,"['(verb) give up, such as power, as of monarchs and emperors, or duties and obligations']","['13', '25', '3', '3', '1', '3', '0', '8', '1', '1', '0', '1', '0', '17', '4']","['ab+dicate\r\ndicate sounds like dictator.\r\nDictator is an authoritarian ruler  who has lot of power.\r\nTo remember better,ab normal is opposite to normal.So,abdicate is opposite to dictator (ie)losing power.', 'ab(अब ) di (दी ) CAT which means in Hindi ""now given up the cat"", imagine you have a powerful cat and you given her to some one.', 'ab (root ab means away as in abandon) + dic (dictatorship) + ate (to eat and hence reduce) : means to give away (or reduce) dictatorship and hence to give-up power.', '""Ab nai dictate"" means now u hav to giv up.', 'ab-di-ca-de', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Lord Ram abdicated his kingdom for Bharath', 'dominique strauss khan abdicated the position of IMF head due to the rape charges', 'ab means away di for two ,and cate for cats .two cats on chair one force other cat to leave position so other leaves position i.e.abdicate', 'Rabdidevi in bihar wanted 2 become abdidevi by abdicating her throne to her husband Lalu.', 'abdicate\'s 1st part abdi=kabaddi(rhyme)(in hindi).when player cant stop breathing he ""GIVES UP(RENOUNCE)"" and he gets out..', ""abdicate contains 'decay' or reduction or give up"", 'ab+di+cate=giveup(In hindi:ab de di cate(winslet) jo mere kabze me thi', 'Search google for an image which reads: Delegate do not Abdicate  )', '""a grim-featured man""\r\n\r\n(adj.) made a feature or highlight; given prominence\r\n\r\n""a featured actor"", ""a featured item at the sale""', 'poke']","['149', '28', '8', '7', '5', '5', '3', '2', '2', '2', '2', '2', '2', '0', '0']",abdicate
5,"['(noun) one whose behavior departs substantially from the norm of a group', '                (adj) markedly different from an accepted norm']","['8', '4', '1', '24', '1', '4', '7', '1', '0', '21', '11', '3', '3', '0', '0']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    (Tag: Global) ab (away) + err (error) + ant : focus on ERR and ANT. Ants normally move together in a queue. imagine all these ants moving randomly like a group of honey bees. That would be abnormal behaviour.', '(beer+ant)...ant drank beer and walking abnormal..', 'ab (away) + err (error) + ant : focus on ERR and ANT, usually an ant follows a path ... so moving away from (root ab means away from) that path means, error in regular path and hence deviating from normal path...or behaviour', 'aberrant behaviour of owner abb agar rent nahi diya', 'ab error aa gayi..hence it is no more normal...hence abnormal', 'Ab-Abishek bachan, Ran-ran at the back of,Ant- Aunty.   total is ""abishek inspite of having Ash  he was running at the back of auntys. it means he is mentally ABNORMAL""', 'UBER ANT is an abnormally large ant. (Uber comes from German for super but is used in gaming slang in English)', 'a bear ant ie,a ant who is drunk will deviate from the normal path', 'aberr + Ant\r\nother than normal ant\r\nTHErfore abnormal ant:\r\nhence ABNORMAL', 'AB means away.berrant is rhyming with diffrent so its give the meaning of abnormalor deviant', 'aberrant = DEVIANT(DEVI + ANT) devi in Hindi means Goddess,so Goddess ant would be different from rest of the ants which will not follow general norms of the ants.', 'break the word \r\nABE+RRANT(i)\r\nabe  rantii...!', 'the speech given by P.M. was aberrant.', 'The Abnormal aberrant, made a Flagrant foul', 'the term ERR is inside here, how can it be normal then?']","['129', '41', '30', '22', '10', '8', '5', '3', '2', '1', '1', '1', '0', '0', '0']",aberrant
6,"['(noun) a state or condition markedly different from the norm', ""(noun) a disorder in one's mental state"", '                (noun) an optical phenomenon resulting from the failure of a lens or mirror to produce a good image']","['7', '2', '8', '6', '0', '4', '2', '0', '8']","['sounds like abortion which is not normal delivery', 'A person who drinks beer acts differently from normal guy.. which is deviating for normal.', 'ab+err+ation.. in this if we concentrate on err.. which relates to error.. which is deviation from normal..', 'ab+eye+irritation=aberration if the pic is not of good quality due to lens problems its eye-irritating', 'sounds like ab + operation \r\ndue to the mentally disorder doctors want to do immediate operation of the patient', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    abe beer kabhi ration ki dukan pe nahi mil sakti...which is a kind of deviation..', 'ABERRATION=VARIATION......', 'Aberration = A + Beer + Reaction, so when a person drinks beer the reaction would be not normal', ""abrretion means irregularity and its similar word is 'anomalous' and anomalous behaviour of water is studied is schools which we do remember""]","['59', '46', '28', '9', '8', '8', '4', '2', '1']",aberration
7,"['(verb) assist or encourage, usually in some wrongdoing']","['25', '20', '7', '0', '2', '8', '3', '1', '1', '4', '1']","['""a""+""bet"" Normally in teenage,college students ""bet"" to their friends that i will make a girl to fall in luv with me n even his fnds supports n encourages him.', 'to differentiate abet from abate=subside/moderate, we can pronounce it as abeat...so, my mom beat me when I assisted my brother in stealing chocolates...this can give an idea that abbeat=abet is related to something doing wrong.', ""'a bet' relate it to the betting in cricket. Betting encourages the players to invove in match fixing. Md. azharruddin was assisted by a bet-ter."", 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    a+bet ; a bet generally assists you to do something wrong', 'ABET always encourages you to do A BAD thing.', ""Lalu was asked by his teacher(PD) to pronunce 'A BAT'while teaching cricket in his KG class. Lalu in his bihari style could only say -'A BET'."", 'in colleges  "" abettment of ragging "" notices are put up, which suggest that anyone helping in ragging may be punished. so one may kepp in mind that abet means to assist, help', ""He abetted him in stealing sachin's bat."", ""He abetted him in stealing sachin's bat."", ""He abetted him in stealing sachin's bat"", 'a+bet >>> a bet generally assists you to do something wrong.. and after tht u get beaten up by ur parents or police...']","['80', '26', '25', '17', '14', '0', '0', '0', '0', '0', '0']",abet
8,['(noun) temporary cessation or suspension'],"['26', '28', '2', '3', '6', '1', '6', '1', '4', '2', '4', '0', '3', '2', '3', '3', '0', '1', '0', '0']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    a+beyance .. here concentrate on beyance.. it sounds like buoyancy which which suspends objects above the ground level..', 'remember ""abey"" in hindi... abey mat karo... do it later!', 'Interpret it as opposite of obey+ance -- not obeying the given orders and suspend the work (action)', ""Interpret it as opposite of obey+ance -- not obeying. Not obeying the orders of his Commanding officer resulted in the captain's suspension for 13 days."", 'ABHAYAS(practice) - due to lack of practice, main event got delayed.', 'if you will not OBEY you will get suspended', 'abey+dance.. due to delay in dance, audience are angry.. due to abeyance in the show audience are frustrated..', 'Abe=Abhe, yance=yan: Abheyaan:\r\nsuspend(abeyance) flow of black money to overseas banks. bharat ka kala dhan abheyan', 'keep at bay', 'abey+ance=>Consider abey as opp of  obey(disrespectful)+ ance as the offense given for the act of not obeying(suspension)', 'a+beyance\r\nconcentrate on beyance,while beyance was dancing,everybody  was just watching her,suspended thier work', 'abeyance is somewht suspense in its pronunciation.suspence means keeping in suspended action.so, abeyance means suspended action.', 'Relate the word to the singer ""Beyonce Knowles""......suspended her singing(action) becoz of her age but not retried', 'due to delay in dance..the people frustrated..Due to aeyance people frustrated in the show..', 'abey-ance', 'A bay vacancy - Found a free hotel at a bay-you will suspend yourself for a break', 'abeyance -> absance -> absence', 'abhey+dance: Abhay is dancing once his mom shouts loudly abhay.. he stop dancing for a moment. Temporary suspension.', 'word contains buoyancy >>> its a state of suspension on water..', 'Beyonce had abeyance in her job when her child was born']","['34', '20', '13', '13', '8', '7', '3', '3', '1', '1', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0']",abeyance
9,['(verb) find repugnant'],"['8', '1', '16', '2', '5', '3', '2', '0', '0', '20', '3', '0', '23', '2', '1', '0', '1', '0', '5', '0', '0']","['abhor sounds like ""a whore"" and we generally hate a whore....so to hate someone is abhoring that person', 'ab + hor (horror) -- that means we should always hate the horror.', 'Abhor - The last part sounds like HORror ppl hate horror films, they detest them. i.e they dont test them.', 'a + bhor = a (one) + bhor (sunrise in hindi) so i hate to ger up early i hate to get up at bhor', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    a + bhor (bore).. a bore person is always rejected. Many people generally abhor a bore person.', 'abhor = ""ab"" (away) + ""hor"" (prostitute)\r\nwe want the hor to go away because we despise it.', ""abhor is similar to abort,abort means an operation ended abruptly..consider wen your installing your most liked game and den suddenly if u see an error called operation aborted u hate(abhor) that,isn't it?"", 'aBhORING , Sounds like a BORING that many would hate . People always hate boring topic . Abhore- Bore - Hate', 'ABsolutely HORrible .. we hate things which are absolutely horrible like war or murder', 'Focus on ""hor""(suffix) hor=horse--so ,i hate horse', 'AB means(now)+ (hor) hor meaning in punjabi is more..image the person is sayin ab hor de..means giv me more...so u hate it!!', 'looks like adore, b is the mirror image of d so, abore must be the mirror image(opposite) of adore(to love),ie. hate', 'Focus on ""hor""(suffix) hor=horse--so ,i hate horse', 'In MTV roadies there was person name Vibhor...nd i ppl hate them..it sounds like Abhor', 'i hate a bore(boring) person.... so abhor means to hate !!', 'abhor sounds like boring. We hate when we are bored', ""Bhor in hindi means morning \r\nwe regard morning with hatred'ki kyun aa gaya yaar kitna acha soye the'\r\nso abhor"", 'hate bore horrour movie', ""'abhor' sounds similar to 'whore', a prostitute. Imagine a whore hates you more than you hate him when dirty people visit her."", 'What a horrific uproar which sounds like abhor or uphoar!!!! \r\n\r\nOr\r\n\r\nEwwwwwwwwwwww!', 'ab (now) gor (snoar in marathi)']","['130', '16', '14', '9', '8', '6', '4', '4', '3', '2', '2', '2', '1', '1', '1', '1', '1', '1', '0', '0', '0']",abhor
10,"['(verb) dwell', '(verb) put up with something or somebody unpleasant']","['13', '31', '4', '2', '0', '3', '19', '2', '0', '0', '0']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    a+bride(bide)genrally guyz loose their independence aftr d marriage bcoz f their bride...so as to bear them n their principles...so abide counts to bear sthng or hate sthng...', 'abi(abhi""name of a person"")+the second part sounds like hide(abhi hides from his stupid friends....because he cant  tolerate them.', ""abide :\r\n\r\nconcentrate on bide it sounds like hide,to escape you hide as u can't bear them lik that"", 'Not to upset the host I took A BITE of the cake although I can barely tolerate chocolate.', 'bide in abide sounds like bind(something that binds you).....so abide means that fails to bind you from your heart..but you merely have to tolerate', 'a + (bide)= bride= wife= tolerate= bear', 'abhi hides himself in d(THE) well(DWELL)......', '""The dude Abides"" - from the movie ""The big Lebowski""', 'put up with your bride.', 'a bride is put up with rules', '""Law Abiding Citizan"" is a movie name.']","['65', '15', '7', '6', '5', '4', '2', '1', '0', '0', '0']",abide
